학교명,날짜,메뉴,칼로리
구암중학교,20231130,현미밥 <br/>새우젓계란찜** (1.2.5.9)<br/>마라탕** (1.2.5.6.9.10.13.15.16.18)<br/>열무된장무침** (5.6)<br/>멸치견과류볶음** (4.5.6.13.14)<br/>배추김치** (9)<br/>청포도 ,653.6 Kcal
구암중학교,20231101,참치야채비빔밥/고추장 (5.6.13)<br/>프렌치토스트+딸기쨈 (1.2.5.6.13)<br/>갓김치(자) (9)<br/>배추김치 (9)<br/>바나나우유 (2),704.8 Kcal
구암중학교,20231102,찹쌀보리밥 <br/>밤연근조림(자) (4.5.6.13)<br/>배추김치 (9)<br/>단감 <br/>청량초시락국 (5.6.8.9.18)<br/>오리훈제&부추겉절이 (1.5.6.13),754.8 Kcal
구암중학교,20231103,현미찹쌀밥 <br/>물떡꼬지어묵국 (1.5.6.8.9.13.18)<br/>참나물무생채 (13)<br/>불향오븐불고기 (5.6.10.13)<br/>배추김치 (9),797.1 Kcal
구암중학교,20231106,혼합곡밥 (5)<br/>순두부찌개(중) (1.5.9.10)<br/>너비아니야채조림 (1.5.6.10.12.13.15.16.18)<br/>참나물사과샐러드(자) (13)<br/>배추김치 (9)<br/>꽈리고추멸치볶음 (13),781.6 Kcal
구암중학교,20231107,수수밥 <br/>콩나물김칫국 (5.6.8.9.18)<br/>고등어순살카레구이 (2.5.6.7.12.13.16.18)<br/>알타리김치 (9)<br/>포도주스 (13)<br/>마라로제찜닭 (2.5.6.10.12.13.15.16),736.7 Kcal
구암중학교,20231108,돼지고기고추잡채덮밥 (5.6.10.13)<br/>달걀파국 (1.8.9.18)<br/>순살코다리강정(중) (1.5.6.12)<br/>파김치(돌돌이) (13)<br/>배추김치 (9)<br/>요쿠르트(거꾸로) (2),844.6 Kcal
구암중학교,20231109,노랑밥 <br/>대구탕 (5.8.9.18)<br/>매실돼지갈비찜 (5.6.10.13)<br/>겨울초겉절이 (13)<br/>배추김치 (9)<br/>피자붕어빵 (1.2.5.6),727.0 Kcal
구암중학교,20231110,찹쌀밥 <br/>곰탕 (1.5.6.13.16.18)<br/>무두부조림 (5.6.8.9.16.18)<br/>도라지일미무침 (5.6.13.17)<br/>깍두기 (9)<br/>양배추쌈 젓국장 (5.6.13)<br/>가래떡(11/11) ,764.0 Kcal
구암중학교,20231113,기장밥 <br/>주꾸미수제비국 (5.6.8.9.18)<br/>메추리알곤약조림 (1.5.6.13)<br/>아삭콩나물무침 (5)<br/>핫바(오징어+야채) (1.5.6.12.13.17)<br/>배추김치 (9),572.7 Kcal
구암중학교,20231114,혼합곡밥 (5)<br/>쇠고기국 (5.6.8.9.16.18)<br/>김구이/간장 (5.6)<br/>오이소박이 (13)<br/>배추김치 (9)<br/>계란말이 (1)<br/>탕후루 (12.13),537.6 Kcal
구암중학교,20231115,작은밥+김자반 (5)<br/>자장면(주식)-중- (1.2.5.6.10.13.16.17)<br/>반달단무지 <br/>등심탕수육(마라소스) (1.5.6.10.12.13.17.18)<br/>배추김치 (9)<br/>액상요쿠르트 (2),1095.7 Kcal
구암중학교,20231117,현미보리밥(감성9-중등) <br/>등뼈감자탕 (5.6.9.10)<br/>도토리묵양념장(구암중) (5.6.13)<br/>배추김치 (9)<br/>딸기우유 (2)<br/>이색나물(배추+미역줄기) ,873.3 Kcal
구암중학교,20231120,찹쌀보리밥 <br/>청국장찌개 (5.6.8.9.18)<br/>안동찜닭-중 (2.5.6.13.15)<br/>시금치나물(노지) <br/>갓김치(자) (9)<br/>배추김치 (9),564.9 Kcal
구암중학교,20231121,검정쌀밥 <br/>북어콩나물국 (1.5.6.8.9.18)<br/>꼬시래기무침(중) (5.6.13)<br/>오리불고기(부추겉절이) (5.6.13)<br/>다시마부각+치즈볼 (1.2.5.6)<br/>배추김치 (9),703.4 Kcal
구암중학교,20231122,베이컨김치볶음밥 (1.2.5.6.9.10.13.15.16.18)<br/>꼬물이만두국 (1.5.6.8.9.10.16.17.18)<br/>사과(배)오이초무침 (13)<br/>소떡소떡 (1.2.5.6.12.13)<br/>알타리김치 (9),943.0 Kcal
구암중학교,20231123,노랑밥 <br/>아욱된장국 (5.6.8.9.18)<br/>상추치커리겉절이 (5.6.13)<br/>배추김치 (9)<br/>오미자쥬스 (13)<br/>흑돼지바베큐&소스(소시지) (1.2.5.6.10.12.13.15.16),747.8 Kcal
구암중학교,20231124,기장밥 <br/>양송이크림스프 (1.2.4.5.6.13.16)<br/>함박스테이크(구운감자) (1.2.5.6.10.12.13.15.16.18)<br/>양상추어린잎샐러드/옥수수콘소스 (2.12.13)<br/>생깻잎양념지 (5.6.13)<br/>배추김치 (9),602.0 Kcal
구암중학교,20231127,혼합곡밥 (5)<br/>대합조랭이미역국 (5.6.8.9.18)<br/>돼지갈비떡조림 (5.6.10.13)<br/>오이도라지초무침 (5.6.13)<br/>배추김치 (9)<br/>떠먹는요쿠르트 (2),681.7 Kcal
구암중학교,20231128,수수밥 <br/>오리육개장(중) (1.5.6.18)<br/>감자비엔나조림 (2.5.6.10.13.15.16)<br/>생선까스/탈탈소스 (1.5.6.13)<br/>배추김치 (9)<br/>귤 ,909.6 Kcal
구암중학교,20231129,셀프충무김밥/오징어어묵무침/석박지 (1.5.6.9.13.17)<br/>짬뽕국(면) (5.6.8.9.10.17.18)<br/>스틱단무지 <br/>배추김치 (9)<br/>찹쌀꿀약과 (1.5.6),970.7 Kcal
구암중학교,20231130,율무밥 <br/>콩가루시락국 (5.6.8.9.18)<br/>무생채 (9.13.17)<br/>생미역무침(자) <br/>돼지고기간장불고기 (5.6.10.13.18)<br/>배추김치 (9)<br/>꿀떡(구슬떡) ,741.8 Kcal
