거래금액,아파트,월,일,전용면적,층
55,000,정관신도시계룡리슈빌,11,1,112.6636,18
23,000,정관양우내안愛,11,2,59.9527,13
26,900,정관동일스위트1차,11,2,59.6502,11
12,000,정관양우내안愛,11,2,59.9527,15
47,900,정관신동아파밀리에,11,3,116.69,9
59,000,정관신도시롯데캐슬,11,3,146.81,12
23,450,정관양우내안愛,11,6,59.8986,8
38,900,정관신도시롯데캐슬,11,6,84.85,11
36,500,정관신도시계룡리슈빌,11,6,84.8273,7
42,500,정관동일스위트1차,11,6,84.9923,9
47,000,정관신도시롯데캐슬,11,6,123.35,11
28,400,정관이진캐스빌2차,11,7,59.9268,3
41,500,정관동일스위트1차,11,7,84.9971,3
24,700,정관양우내안愛,11,9,59.8986,14
70,000,정관신도시한진해모로,11,9,135.6199,7
40,000,정관협성르네상스타운,11,11,116.8112,10
28,500,정관이진캐스빌2차,11,13,59.9268,7
43,500,정관신도시롯데캐슬,11,13,123.35,4
28,500,정관이진캐스빌2차,11,13,59.9268,7
48,000,이진캐스빌,11,15,84.9821,1
43,300,정관신도시롯데캐슬,11,17,101.74,10
52,000,정관신도시한진해모로,11,18,109.6398,12
37,600,정관신도시계룡리슈빌,11,19,84.8273,8
27,000,정관동일스위트1차,11,21,59.8302,3
36,000,정관이진캐스빌2차,11,25,84.9026,1
36,000,정관이진캐스빌2차,11,25,84.9026,1
27,500,정관동일스위트1차,11,26,59.6502,9
21,800,정관양우내안愛,11,26,59.9527,2
25,300,정관동일스위트1차,11,27,59.6502,9
38,000,정관이진캐스빌2차,11,29,84.9026,4
50,200,일광한신더휴센트럴포레2단지,11,13,59.8167,6
23,000,선우,11,15,80.79,12
75,000,일광자이푸르지오1단지,11,27,84.9718,16
12,000,정도한스빌,11,1,54.562,8
15,639,가화일광타워,11,2,59.8905,18
18,150,동부산쏠마레,11,8,49.5896,11
15,792,가화일광타워,11,12,59.8654,20
19,900,동부산쏠마레,11,18,49.0658,11
19,650,고촌엘에이치3단지아파트,11,19,67.89,10
21,400,한신,12,18,59.85,20
16,000,선아베스트빌,12,20,81.69,1
14,000,대진로얄,12,22,82.93,4
29,300,한신,12,22,84.985,18
9,200,부전베스트,12,24,78.27,4
9,300,부전베스트,12,27,71.64,2
8,800,부전베스트,12,28,75.12,6
16,100,태영,12,2,59.75,9
20,000,태영,12,3,84.975,1
44,000,이진캐스빌블루1차,12,4,84.9005,9
18,500,문화그린맨션,12,7,84.135,9
21,300,가화만사성,12,7,59.9869,11
11,000,욱일,12,8,59.12,7
8,800,욱일,12,10,59.12,6
12,900,문화그린맨션,12,13,59.91,7
14,000,가화랜드빌,12,14,59.7331,2
38,400,이진캐스빌블루2차,12,14,68.6835,19
22,384,기장유림노르웨이숲,12,18,53.0439,3
23,500,태영,12,18,84.975,14
43,000,이진캐스빌블루2차,12,20,82.0761,6
12,800,부전타워,12,28,59.38,2
20,500,서부주공,12,3,59.92,1
13,900,이진테마빌,12,4,59.0604,16
23,700,서부주공,12,7,59.92,8
15,500,이진테마빌,12,10,56.6304,4
8,800,이진테마빌,12,20,33.6966,7
12,000,이진테마빌,12,21,51.2689,13
13,500,이진테마빌,12,31,59.0604,17
20,500,행복리치빌아파트,12,5,69.7419,8
15,000,동양주택,12,7,111.15,12
7,500,수신,12,16,47.18,5
13,500,가화랜드빌5차,12,16,59.8027,4
11,700,금강궁전,12,17,58.38,5
16,300,에코하임기장,12,19,49.2565,8
33,500,이진캐스빌골드,12,27,84.5689,6
43,000,현대,12,3,84.6,3
29,000,우신네오빌,12,4,84.9888,8
22,600,청강주공,12,6,39.3,2
36,000,현대,12,9,84.6,12
14,000,청강주공,12,16,42.48,3
19,500,비룡벨로스텔라,12,20,65.68,11
30,000,현대,12,21,59.95,10
31,700,청강리더스빌,12,24,81.2138,14
30,000,청강리더스빌,12,25,81.2138,18
37,100,정관가화만사성더테라스1차,12,6,60.1758,5
37,100,정관가화만사성더테라스1차,12,6,60.1758,5
26,500,부산정관지구이지더원5차아파트,12,9,68.414,9
26,400,부산정관지구이지더원5차아파트,12,11,68.414,5
21,000,부산정관지구이지더원5차아파트,12,15,68.414,13
29,700,부산정관지구이지더원5차아파트,12,18,68.414,15
21,000,가화만사성정관타운,12,18,59.9437,2
21,000,가화만사성정관타운,12,18,59.9437,2
17,000,가화만사성정관타운,12,20,59.9437,13
20,500,서희스타힐스,12,20,59.81,1
30,700,서희스타힐스,12,20,84.53,9
41,700,정관가화만사성더테라스1차,12,30,60.1758,6
22,900,서희스타힐스,12,30,59.83,7
28,200,서희스타힐스,12,31,84.53,8
34,000,정관2차동원로얄듀크,12,1,59.997,17
34,700,정관2차동원로얄듀크,12,3,59.997,20
34,700,정관2차동원로얄듀크,12,10,59.997,15
31,000,정관2차동원로얄듀크,12,23,59.997,2
47,000,정관2차동원로얄듀크,12,27,84.999,11
32,900,정관2차동원로얄듀크,12,31,59.997,7
23,000,정관센트럴파크,12,7,59.83,1
25,800,정관1차동원로얄듀크,12,11,59.997,11
35,900,정관1차동원로얄듀크,12,13,79.6526,14
31,000,정관센트럴파크,12,17,84.41,6
25,400,정관1차동원로얄듀크,12,20,59.997,12
35,900,정관1차동원로얄듀크,12,29,79.6526,14
24,600,정관센트럴파크,12,29,59.83,7
23,700,이지더원,12,1,59.8832,14
36,000,동일스위트3차,12,6,100.7622,2
28,500,동일스위트3차,12,9,65.9397,19
29,000,이지더원,12,10,84.7808,15
36,900,이지더원2차,12,10,84.9644,16
26,900,동일스위트3차,12,11,65.9876,3
31,000,정관동일스위트2차,12,11,78.5355,15
36,300,동일스위트3차,12,18,84.9174,9
