거래금액,아파트,월,일,전용면적,층
30,000,정관가화만사성더테라스1차,3,12,60.1758,2
29,800,서희스타힐스,3,15,84.73,10
21,800,가화만사성정관타운,3,19,59.9437,11
29,000,부산정관지구이지더원5차아파트,3,19,68.414,11
28,500,서희스타힐스,3,20,84.59,15
28,500,서희스타힐스,3,21,84.53,4
26,900,부산정관지구이지더원5차아파트,3,25,68.414,11
58,300,정관가화만사성더테라스1차,3,29,84.9623,6
44,174,정관가화만사성더테라스2차,3,29,142.6275,1
16,500,형진강변프라자,3,10,59.86,15
47,000,정관2차동원로얄듀크,3,26,84.999,12
39,000,두산위브더테라스,3,5,84.994,2
25,500,정관1차동원로얄듀크,3,9,59.997,19
26,600,정관1차동원로얄듀크,3,14,59.997,12
32,800,두산위브더테라스,3,14,84.974,1
32,000,두산위브더테라스,3,15,84.974,1
8,600,성림,3,19,48.28,1
27,000,정관1차동원로얄듀크,3,22,59.997,6
26,500,정관1차동원로얄듀크,3,28,59.997,19
26,900,정관1차동원로얄듀크,3,28,59.997,7
8,000,재흥,3,29,46.895,3
33,500,정관센트럴파크,3,30,84.59,4
25,700,정관센트럴파크,3,31,59.83,8
50,500,정관현진에버빌,3,1,132.248,8
35,000,정관동일스위트2차,3,1,84.9882,7
25,500,정관동일스위트2차,3,3,59.9337,13
25,200,동일스위트3차,3,5,65.9876,8
26,000,이지더원2차,3,8,59.9984,16
30,500,이지더원,3,9,84.7808,16
27,000,동일스위트3차,3,9,65.9876,17
33,500,정관동일스위트2차,3,10,84.9882,17
23,000,정관동일스위트2차,3,12,59.9337,3
32,700,이지더원,3,12,84.7808,14
22,500,이지더원,3,12,59.8832,3
30,000,동일스위트3차,3,14,75.5781,11
30,700,정관동일스위트2차,3,18,84.9864,2
43,000,정관현진에버빌,3,19,116.024,5
24,850,이지더원2차,3,19,59.8935,6
39,500,이지더원3차,3,19,84.97,17
25,500,동일스위트3차,3,21,65.9876,2
29,800,동일스위트3차,3,22,75.5781,8
23,900,정관동일스위트2차,3,25,59.9856,18
38,000,이지더원2차,3,25,84.9644,8
32,000,이지더원,3,25,84.7808,10
22,750,이지더원,3,26,59.8832,11
29,900,이지더원3차,3,27,65.6536,10
50,200,정관현진에버빌,3,30,132.248,10
41,500,이지더원3차,3,31,84.97,14
32,500,정관동일스위트2차,3,31,84.9864,8
24,500,정관동일스위트2차,3,31,59.9337,7
23,500,정관양우내안愛,3,2,59.9983,14
26,500,정관동일스위트1차,3,2,59.8245,18
50,000,이진캐스빌,3,3,84.9821,11
33,300,정관신도시계룡리슈빌,3,5,84.836,1
25,300,정관동일스위트1차,3,5,59.6502,3
39,500,정관이진캐스빌2차,3,7,84.9026,8
24,500,정관양우내안愛,3,10,59.8986,9
49,000,정관협성르네상스타운,3,12,101.316,7
40,600,정관신도시롯데캐슬,3,12,101.74,6
23,800,정관양우내안愛,3,12,59.8986,6
29,500,정관이진캐스빌2차,3,12,59.9268,5
24,800,정관양우내안愛,3,12,59.9527,7
35,900,이진캐스빌,3,15,59.8881,14
24,300,정관양우내안愛,3,15,59.8986,10
39,000,정관신도시계룡리슈빌,3,19,84.8273,11
27,500,정관동일스위트1차,3,29,59.8245,15
47,800,이지더원1차오션포레,3,3,59.6231,14
74,500,e편한세상일광,3,16,84.9868,20
69,500,일광자이푸르지오2단지,3,17,84.9062,19
70,000,일광자이푸르지오2단지,3,18,84.9718,2
70,000,일광자이푸르지오2단지,3,18,84.9718,2
18,800,동부산쏠마레,3,8,49.0658,5
18,900,동부산쏠마레,3,14,49.0658,6
18,000,동부산쏠마레,3,14,49.5896,5
34,500,가화일광타워,3,18,59.8905,14
15,000,리츠빌,4,6,84.94,1
18,500,선아베스트빌,4,6,81.69,4
25,500,한신,4,10,84.985,6
11,000,동보빌라,4,13,84.77,5
20,100,이진스카이빌,4,14,59.97,10
18,000,이진스카이빌,4,14,59.97,5
27,300,센텀스위트홈,4,17,103.545,7
36,500,부산기장포스코더샵,4,25,84.9056,10
13,300,동산그린타워,4,27,59.51,4
11,000,동보빌라,4,28,84.77,5
13,900,부전타워,4,5,59.38,9
49,700,이진캐스빌블루1차,4,8,84.9753,23
17,200,가화만사성,4,11,53.4307,10
14,000,부전타워,4,11,59.38,8
17,350,태영,4,14,59.75,2
12,300,부전타워,4,19,59.38,1
15,500,가화만사성,4,20,53.4307,3
43,300,이진캐스빌블루1차,4,25,84.9005,4
12,000,전원그린맨션B동,4,26,59.64,9
17,600,문화그린맨션,4,27,84.135,5
47,500,이진캐스빌블루1차,4,27,84.9753,9
14,000,부전타워,4,28,59.38,1
12,650,가화랜드빌,4,28,52.9649,9
16,050,부전타워,4,30,78.83,2
15,500,이진테마빌,4,4,59.0604,15
23,500,서부주공,4,6,59.92,11
22,000,서부주공,4,9,59.83,7
24,500,서부주공,4,12,59.92,5
8,200,이진테마빌,4,12,33.6966,7
23,700,서부주공,4,16,59.83,8
24,200,서부주공,4,18,59.92,9
13,600,서부주공,4,19,46.2,6
15,200,이진테마빌,4,19,59.0604,16
14,500,이진테마빌,4,28,59.0604,13
8,200,이진테마빌,4,29,33.6966,3
14,500,이진테마빌,4,30,59.0604,13
25,866,동부산어반리움,4,1,71.38,2
15,800,대라주공,4,1,39.72,2
26,000,가화만사성4차,4,1,83.9523,8
12,400,가화랜드빌기장1차,4,4,59.9416,4
10,500,금강궁전,4,6,47.07,8
15,700,에코하임기장,4,6,49.7918,8
19,000,이진캐스빌,4,6,59.91,7
8,730,수신,4,7,59.86,4
12,000,스카이아트빌,4,7,84.78,6
15,000,페리B동,4,11,84.2625,4
26,450,이진캐스빌,4,11,79.63,19
26,000,이진캐스빌,4,15,79.63,20
27,700,동부산어반리움,4,16,71.38,13
22,700,씨엘늘채움,4,18,84.8274,3
22,700,씨엘늘채움,4,18,84.8274,3
19,000,대라주공,4,18,39.72,3
22,700,씨엘늘채움,4,18,84.8274,3
19,700,에이원더시티,4,20,49.0978,9
16,000,동환라온제나기장,4,21,75.25,4
16,150,에코하임기장,4,23,49.8565,5
19,500,이진캐스빌,4,23,59.91,7
17,700,삼협아띠랑스,4,24,59.695,12
14,450,이진캐스빌,4,30,49.2,1
31,700,현대,4,4,59.95,9
28,000,우신네오빌,4,6,84.9888,8
41,800,현대,4,15,84.6,2
45,000,현대,4,23,84.6,11
26,000,우신네오빌,4,30,84.9888,1
32,800,경보그랜드비치,4,9,71.1388,5
61,000,동부산관광단지삼정그린코아더베스트,4,9,84.9887,3
22,200,서희스타힐스,4,2,59.81,7
30,000,부산정관지구이지더원5차아파트,4,5,68.414,6
27,900,서희스타힐스,4,6,84.53,6
27,400,부산정관지구이지더원5차아파트,4,8,68.414,14
40,700,정관가화만사성더테라스1차,4,20,106.0011,1
26,500,부산정관지구이지더원5차아파트,4,21,68.414,7
34,000,정관가화만사성더테라스2차,4,22,106.0011,1
32,000,가화만사성정관타운,4,27,84.7768,3
22,000,가화만사성정관타운,4,28,59.9567,3
33,650,정관2차동원로얄듀크,4,6,59.997,11
33,500,정관2차동원로얄듀크,4,9,59.997,3
45,000,정관2차동원로얄듀크,4,15,84.999,9
20,000,형진강변프라자,4,27,82.52,10
45,000,정관2차동원로얄듀크,4,28,84.999,18
11,400,대우아파트,4,5,49.86,3
35,000,정관센트럴파크,4,5,84.59,12
24,500,정관1차동원로얄듀크,4,8,59.997,4
9,300,재흥,4,8,46.895,4
24,500,정관1차동원로얄듀크,4,8,59.997,4
26,700,정관1차동원로얄듀크,4,9,59.997,8
33,500,정관센트럴파크,4,11,84.59,4
34,700,정관1차동원로얄듀크,4,14,79.6526,18
12,000,대우아파트,4,18,49.86,1
9,500,재흥,4,20,46.895,1
38,800,정관1차동원로얄듀크,4,21,79.6089,10
9,500,재흥,4,23,49.4,3
27,500,동일스위트3차,4,1,65.9876,20
27,000,이지더원2차,4,2,59.8935,20
23,000,정관동일스위트2차,4,3,59.9337,11
26,000,정관동일스위트2차,4,5,59.9337,17
36,400,정관현진에버빌,4,6,84.988,5
24,500,정관동일스위트2차,4,6,59.9337,5
36,000,정관현진에버빌,4,7,84.981,6
23,300,이지더원,4,8,59.8832,10
37,300,정관현진에버빌,4,8,84.981,10
24,500,정관동일스위트2차,4,9,59.9337,20
33,600,이지더원3차,4,10,74.1653,15
36,500,정관동일스위트2차,4,11,84.9864,13
50,000,정관롯데캐슬2차,4,11,101.8124,20
28,000,동일스위트3차,4,11,65.9876,4
50,000,정관롯데캐슬2차,4,13,101.5883,7
34,200,이지더원,4,14,84.7808,16
44,700,정관현진에버빌,4,14,116.024,9
22,000,정관동일스위트2차,4,16,59.9337,18
55,500,정관롯데캐슬2차,4,17,127.2641,1
30,300,이지더원,4,18,84.7808,1
32,500,이지더원,4,19,84.7808,14
23,800,이지더원,4,19,59.8832,7
30,500,이지더원,4,19,84.7808,12
37,200,정관현진에버빌,4,19,84.981,2
31,000,이지더원,4,20,84.7808,15
24,000,이지더원,4,21,59.8832,15
34,500,이지더원3차,4,21,74.1653,18
32,500,이지더원,4,22,84.7808,8
54,000,정관현진에버빌,4,22,132.248,13
42,000,동일스위트3차,4,22,100.2336,8
24,500,정관동일스위트2차,4,23,59.9337,7
28,500,이지더원2차,4,24,59.9984,20
28,000,정관동일스위트2차,4,26,78.5355,13
30,300,동일스위트3차,4,26,75.5781,19
26,500,동일스위트3차,4,30,65.9876,7
23,400,이지더원,4,30,59.8832,13
24,500,정관양우내안愛,4,1,59.8986,5
27,700,정관동일스위트1차,4,6,59.8245,11
36,000,정관동일스위트1차,4,7,84.8734,2
48,700,정관협성르네상스타운,4,8,103.0106,9
25,000,정관양우내안愛,4,8,59.8986,13
30,000,정관동일스위트1차,4,9,74.258,17
25,000,정관양우내안愛,4,10,59.8986,8
25,800,정관동일스위트1차,4,10,59.6502,3
26,800,정관동일스위트1차,4,12,59.6502,15
65,000,정관신도시계룡리슈빌,4,15,131.9791,11
24,100,정관양우내안愛,4,15,59.8986,15
36,000,정관동일스위트1차,4,16,84.9899,1
36,500,정관신동아파밀리에,4,16,116.69,14
54,000,정관협성르네상스타운,4,18,116.8112,1
58,500,정관신도시한진해모로,4,21,123.4835,10
24,600,정관양우내안愛,4,21,59.8986,5
52,000,정관신동아파밀리에,4,22,107.83,15
28,000,정관동일스위트1차,4,23,59.8302,14
27,000,정관동일스위트1차,4,24,59.8302,6
28,200,정관동일스위트1차,4,26,59.8302,7
49,500,이진캐스빌,4,26,84.9821,10
25,500,정관양우내안愛,4,27,59.8986,12
35,000,정관신도시롯데캐슬,4,27,84.85,4
65,000,정관신도시한진해모로,4,27,135.6199,10
24,000,정관양우내안愛,4,28,59.9983,3
40,000,일광대성베르힐,4,8,84.5535,17
56,500,일광한신더휴센트럴포레2단지,4,8,75.9504,5
25,500,선우,4,12,80.79,13
67,000,일광한신더휴센트럴포레2단지,4,15,84.9371,18
58,500,일광대성베르힐,4,15,84.3874,7
49,500,이지더원1차오션포레,4,19,59.6231,20
50,000,일광자이푸르지오2단지,4,20,84.9718,7
16,700,선우,4,24,68.75,1
43,300,일광한신더휴센트럴포레2단지,4,26,59.8167,2
22,900,해맞이빌,4,29,72.12,7
34,700,가화일광타워,4,2,59.8654,19
15,792,가화일광타워,4,8,59.8654,17
10,600,정도한스빌,4,12,54.562,9
35,300,가화일광타워,4,22,59.8654,33
11,000,정도한스빌,4,22,54.562,3
10,600,정도한스빌,4,27,54.858,8
38,500,고촌센트럴아파트,4,1,84.95,3
28,000,고촌엘에이치3단지아파트,4,17,67.89,9
39,500,고촌센트럴아파트,4,19,84.97,15
10,000,동호그린빌라,5,2,74.14,1
10,400,동산그린타워,5,10,58.7,3
10,400,동산그린타워,5,10,58.7,3
20,200,한신,5,10,59.85,7
27,750,한신,5,11,84.985,19
7,900,동호그린빌라,5,16,64.065,3
13,200,부전베스트,5,21,75.12,4
18,400,이진스카이빌,5,21,59.97,2
20,800,한신,5,24,59.85,15
8,750,동산백조,5,30,71.61,6
17,300,태영,5,2,59.75,3
8,900,욱일,5,2,59.12,5
10,500,전원그린맨션B동,5,4,58.12,1
9,900,전원그린맨션B동,5,5,59.64,4
46,000,이진캐스빌블루1차,5,12,84.9005,22
21,600,가화만사성,5,14,59.9869,16
37,000,이진캐스빌블루2차,5,14,68.6835,4
18,900,문화그린맨션,5,16,84.135,9
19,900,문화그린맨션,5,24,84.135,8
24,900,서부주공,5,1,59.92,5
11,400,이진테마빌,5,16,48.598,3
8,300,이진테마빌,5,24,33.6966,12
8,100,이진테마빌,5,24,33.6966,14
14,300,이진테마빌,5,24,59.0604,16
14,400,이진테마빌,5,25,59.0604,16
14,400,이진테마빌,5,25,59.0604,16
7,900,이진테마빌,5,26,33.6966,4
14,300,이진테마빌,5,31,59.0604,14
15,400,동국에버리치,5,2,63.38,7
19,800,이진캐스빌,5,2,59.91,12
12,600,담덕기장센텀,5,4,48.54,4
18,000,모드니하이츠,5,6,62.4008,13
23,400,씨엘늘채움,5,10,84.8274,6
26,500,이진캐스빌,5,10,79.63,10
20,100,이진캐스빌,5,14,59.91,14
26,500,월가아델리스,5,20,74.4166,6
24,500,담덕기장센텀,5,21,72.74,11
20,100,이진캐스빌,5,21,59.91,12
13,500,베로나,5,24,49.997,4
10,000,에이원더시티,5,25,25.1935,13
22,300,씨엘늘채움,5,26,78.0341,7
23,000,에스디빌라트,5,27,58.5413,8
17,000,에코하임기장,5,28,49.8565,9
34,700,우신네오빌,5,1,130.04,2
39,250,우신네오빌,5,3,130.04,22
38,000,현대,5,5,84.6,5
12,400,씨앤스타빌,5,11,49.96,10
21,500,청강주공,5,18,32.76,1
27,900,현대,5,18,59.95,15
38,500,경보그랜드비치,5,10,84.7205,7
45,000,동부산관광단지삼정그린코아더베스트,5,27,79.9827,6
45,000,정관가화만사성더테라스2차,5,2,142.6275,1
26,300,부산정관지구이지더원5차아파트,5,7,68.414,2
24,700,부산정관지구이지더원5차아파트,5,10,68.414,3
41,000,정관가화만사성더테라스1차,5,11,84.9623,2
30,000,부산정관지구이지더원5차아파트,5,12,68.414,6
21,000,가화만사성정관타운,5,14,59.9193,2
21,000,서희스타힐스,5,16,59.81,10
28,000,정관가화만사성더테라스1차,5,19,60.1758,2
36,000,정관가화만사성더테라스2차,5,21,60.1758,5
21,800,서희스타힐스,5,31,59.81,4
31,300,정관가화만사성더테라스2차,5,31,60.1758,3
44,500,정관2차동원로얄듀크,5,28,84.9993,9
24,000,정관센트럴파크,5,13,59.83,15
24,000,정관1차동원로얄듀크,5,27,59.997,14
29,000,정관1차동원로얄듀크,5,30,79.6526,19
47,500,두산위브더테라스,5,31,84.821,5
25,300,정관동일스위트2차,5,1,59.9337,11
31,700,이지더원,5,3,84.8834,10
24,500,정관동일스위트2차,5,5,59.9337,5
24,700,정관동일스위트2차,5,7,59.9337,15
38,200,이지더원3차,5,9,84.97,3
30,000,정관동일스위트2차,5,11,78.5355,6
30,500,동일스위트3차,5,12,75.5781,16
47,000,정관롯데캐슬2차,5,14,101.5883,5
49,000,정관롯데캐슬2차,5,20,101.8124,13
28,000,동일스위트3차,5,20,65.9397,16
34,000,동일스위트3차,5,20,84.9174,19
32,500,이지더원3차,5,21,74.1653,3
35,800,이지더원2차,5,21,84.9644,11
22,900,동일스위트3차,5,21,65.9876,2
22,800,정관동일스위트2차,5,23,59.9337,10
26,000,동일스위트3차,5,24,65.9876,11
20,200,이지더원,5,24,59.8832,1
30,000,동일스위트3차,5,27,75.5781,5
34,500,정관동일스위트2차,5,27,84.9803,13
28,300,동일스위트3차,5,28,65.9876,6
32,300,이지더원3차,5,29,74.1653,7
37,900,정관이진캐스빌2차,5,2,84.9026,2
50,000,정관신도시한진해모로,5,6,122.9131,4
49,800,정관협성르네상스타운,5,11,101.316,5
37,000,정관이진캐스빌2차,5,12,84.7894,2
37,000,정관이진캐스빌2차,5,12,84.7894,2
38,000,정관동일스위트1차,5,13,84.8734,8
47,800,정관협성르네상스타운,5,14,103.0106,7
47,800,정관협성르네상스타운,5,14,103.0106,7
50,000,정관신도시한진해모로,5,15,123.4835,3
27,000,정관동일스위트1차,5,18,59.6502,7
45,800,정관신도시계룡리슈빌,5,18,103.41,16
59,800,정관신동아파밀리에,5,21,110.33,15
26,200,정관동일스위트1차,5,26,59.6502,8
25,900,정관동일스위트1차,5,27,59.6502,6
28,800,정관동일스위트1차,5,27,59.8302,5
48,500,이진캐스빌,5,31,84.9821,4
34,000,이진캐스빌,5,31,59.8881,5
18,000,선우,5,2,68.75,14
20,000,선우,5,10,80.79,11
56,000,일광한신더휴센트럴포레2단지,5,13,75.9504,5
70,000,일광자이푸르지오2단지,5,15,84.9718,22
66,000,e편한세상일광,5,20,84.9868,25
50,000,e편한세상일광,5,23,74.9729,1
60,000,일광자이푸르지오2단지,5,27,84.9718,8
44,900,일광한신더휴센트럴포레1단지,5,28,59.8167,20
70,000,일광자이푸르지오2단지,5,28,84.9718,8
60,000,e편한세상일광,5,30,74.9729,27
16,700,정도한스빌,5,7,54.562,13
15,792,가화일광타워,5,7,59.8654,2
33,500,가화일광타워,5,9,59.8654,28
15,792,가화일광타워,5,9,59.8654,28
15,000,동부산쏠마레,5,10,49.0658,1
11,200,정도한스빌,5,11,54.562,1
27,000,가화일광타워,5,17,59.8654,2
35,000,가화일광타워,5,17,59.8654,21
12,700,정도한스빌,5,31,54.562,3
25,000,고촌센트럴아파트,5,3,84.95,15
40,000,고촌센트럴아파트,5,23,84.9,1
35,000,부산기장포스코더샵,6,3,84.9056,20
7,500,유한빌라,6,7,68.51,4
13,500,동산백조,6,10,71.61,2
24,000,한신,6,11,59.85,20
18,000,이진스카이빌,6,18,59.97,18
31,000,한신,6,28,84.985,13
45,000,이진캐스빌블루1차,6,4,84.9753,2
21,300,가화만사성,6,7,59.9869,8
17,600,부전타워,6,11,84.505,4
20,200,문화그린맨션,6,11,84.135,11
47,500,이진캐스빌블루1차,6,11,84.9753,9
47,500,이진캐스빌블루1차,6,11,84.9005,15
20,200,문화그린맨션,6,11,84.135,11
15,700,원재아트빌,6,16,84.84,7
12,700,전원그린맨션B동,6,28,59.64,6
21,000,리츠빌리지,6,28,77.1024,2
17,800,서부주공,6,2,46.2,8
11,200,이진테마빌,6,18,48.598,19
14,000,이진테마빌,6,25,59.0604,6
15,000,이진테마빌,6,27,59.0604,11
17,400,동부산렉슬,6,3,57.6,6
14,500,이진캐스빌,6,4,49.2,1
16,800,한평드림빌,6,7,84.78,4
16,900,대라주공,6,9,39.72,4
14,100,담덕기장센텀,6,12,48.54,6
14,000,황중베르빌,6,13,70.84,9
15,000,가화랜드빌5차,6,15,53.3253,12
16,800,에코하임기장,6,17,49.2452,8
16,800,에코하임기장,6,17,49.2452,8
21,500,씨엘늘채움,6,20,78.0341,6
15,000,대원빌라5,6,25,83.39,7
21,300,씨엘늘채움,6,25,78.0341,4
26,500,현대,6,2,59.95,13
29,500,우신네오빌,6,9,84.9888,14
12,500,씨앤스타빌,6,13,47.28,14
12,500,씨앤스타빌,6,14,47.28,14
12,400,씨앤스타빌,6,28,49.96,10
29,300,경보그랜드비치,6,16,59.9295,13
36,500,경보그랜드비치,6,19,84.7205,9
22,800,서희스타힐스,6,4,59.83,6
30,800,서희스타힐스,6,4,84.73,8
31,300,서희스타힐스,6,6,84.53,7
29,500,정관가화만사성더테라스1차,6,11,60.1758,4
25,800,부산정관지구이지더원5차아파트,6,11,68.414,3
46,000,정관가화만사성더테라스1차,6,12,84.9623,5
25,700,부산정관지구이지더원5차아파트,6,14,68.414,4
30,000,정관가화만사성더테라스1차,6,14,60.1758,4
28,000,부산정관지구이지더원5차아파트,6,15,68.414,11
30,500,서희스타힐스,6,19,84.73,14
28,500,정관가화만사성더테라스1차,6,22,60.1758,2
27,000,부산정관지구이지더원5차아파트,6,29,68.414,2
26,800,정관1차동원로얄듀크,6,9,59.997,10
23,000,정관센트럴파크,6,9,59.83,4
25,250,정관센트럴파크,6,9,59.83,7
11,300,대우아파트,6,14,49.86,3
36,000,정관1차동원로얄듀크,6,18,79.6089,20
25,000,정관센트럴파크,6,23,59.81,14
34,500,정관1차동원로얄듀크,6,30,79.6089,1
34,000,정관동일스위트2차,6,1,84.9864,12
44,000,정관현진에버빌,6,3,116.024,3
24,700,정관동일스위트2차,6,4,59.9337,18
34,500,정관동일스위트2차,6,8,84.9803,13
33,800,정관동일스위트2차,6,8,84.9803,13
30,000,이지더원,6,8,84.8834,1
29,000,이지더원2차,6,10,84.9644,1
32,900,이지더원3차,6,11,74.1653,11
24,900,이지더원2차,6,13,59.8935,15
30,500,동일스위트3차,6,14,75.5781,6
36,500,정관동일스위트2차,6,14,84.9864,13
17,000,정관동일스위트2차,6,15,59.9337,9
25,000,이지더원2차,6,17,59.8935,10
31,000,이지더원,6,18,84.7808,4
31,000,이지더원,6,20,84.7808,17
26,800,동일스위트3차,6,22,65.9397,7
30,500,정관동일스위트2차,6,22,78.5355,7
30,000,이지더원,6,27,84.7808,4
51,500,정관협성르네상스타운,6,4,101.316,14
24,500,정관동일스위트1차,6,8,59.8302,1
25,000,정관동일스위트1차,6,10,59.6502,3
25,500,정관양우내안愛,6,10,59.8986,7
27,000,정관동일스위트1차,6,10,59.6502,12
24,000,정관동일스위트1차,6,11,59.6502,2
48,400,정관신도시롯데캐슬,6,11,123.35,7
45,000,정관신도시계룡리슈빌,6,13,103.41,16
39,000,정관동일스위트1차,6,13,84.9971,7
26,000,정관양우내안愛,6,16,59.8986,5
54,000,정관협성르네상스타운,6,17,103.0027,5
27,100,정관동일스위트1차,6,19,59.8245,12
24,700,정관양우내안愛,6,22,59.8986,2
37,800,정관이진캐스빌2차,6,22,84.7894,9
39,500,정관이진캐스빌2차,6,23,84.7894,5
42,100,정관신도시롯데캐슬,6,24,123.35,6
24,000,정관동일스위트1차,6,30,59.6502,17
34,700,정관동일스위트1차,6,30,84.8734,5
65,500,일광신도시비스타동원1차,6,10,96.1765,5
67,000,e편한세상일광,6,11,84.9868,16
59,500,일광한신더휴센트럴포레2단지,6,11,75.9504,23
56,000,e편한세상일광,6,13,74.9791,11
43,300,이지더원1차오션포레,6,14,59.6231,20
49,500,이지더원1차오션포레,6,16,59.6231,20
58,000,e편한세상일광,6,24,74.9729,11
43,000,이지더원1차오션포레,6,30,59.6231,16
12,000,삼양비치빌라.활어센타,6,30,76.05,5
11,500,정도한스빌,6,7,54.562,2
15,600,정도한스빌,6,13,54.562,6
16,800,동부산쏠마레,6,17,49.0658,1
15,100,정도한스빌,6,21,54.562,11
15,639,가화일광타워,6,23,59.8905,10
34,700,가화일광타워,6,23,59.8905,19
31,000,가화일광타워,6,30,59.8654,16
35,000,고촌센트럴아파트,6,8,84.95,8
17,900,한신,7,2,59.85,1
14,900,서린에코빌아파트,7,7,59.295,4
19,000,이진스카이빌,7,8,59.97,13
19,000,대진로얄,7,9,82.93,1
16,500,동부스위트,7,11,61.4625,11
12,000,동산백조,7,14,62.74,3
9,300,동보빌라,7,19,84.77,6
9,000,동산백조,7,19,71.61,1
10,000,전원그린맨션A,7,1,84.9,1
16,400,성신목화,7,4,84.78,9
23,900,리츠빌리지,7,5,84.7444,6
16,000,부전타워,7,5,78.83,12
23,000,성신목화,7,9,106.5,5
25,300,성신목화,7,9,106.5,5
16,500,태영,7,10,59.75,1
16,950,문화그린맨션,7,16,84.135,3
26,000,태영,7,21,84.975,16
18,000,태영,7,21,59.75,5
12,500,이진테마빌,7,8,48.598,4
12,200,이진테마빌,7,9,51.2689,18
24,000,서부주공,7,13,59.83,9
11,500,이진테마빌,7,23,48.598,9
20,500,서부주공,7,27,59.92,6
24,300,서부주공,7,29,59.83,7
27,500,동부산어반리움,7,8,71.38,11
23,800,갤러리하우스,7,14,84.98,5
17,400,에코하임기장,7,27,49.2452,10
14,000,가화랜드빌5차,7,29,53.3253,6
12,300,씨앤스타빌,7,16,49.96,10
12,400,씨앤스타빌,7,22,49.96,7
19,500,청강주공,7,27,39.69,1
20,000,청강주공,7,29,39.99,5
36,000,경보그랜드비치,7,13,71.1388,2
60,000,동부산관광단지삼정그린코아더베스트,7,11,84.9887,2
60,800,동부산관광단지삼정그린코아더베스트,7,23,84.9887,6
25,500,부산정관지구이지더원5차아파트,7,10,68.414,12
22,400,가화만사성정관타운,7,16,59.9437,2
32,600,정관2차동원로얄듀크,7,16,59.997,20
10,425,대우아파트,7,1,49.86,5
25,850,정관센트럴파크,7,8,59.81,12
12,800,대우아파트,7,11,49.86,1
12,000,대우아파트,7,20,49.86,2
55,000,정관롯데캐슬2차,7,1,127.2641,8
37,000,동일스위트3차,7,1,84.9174,14
32,500,정관동일스위트2차,7,2,84.9803,5
42,000,이지더원3차,7,4,84.97,14
21,400,이지더원,7,4,59.8832,2
38,000,이지더원3차,7,8,84.97,14
23,800,정관동일스위트2차,7,8,59.9337,13
28,000,정관동일스위트2차,7,9,78.5355,3
25,000,정관동일스위트2차,7,9,59.9337,7
45,000,정관롯데캐슬2차,7,18,101.8124,12
39,200,이지더원3차,7,19,84.97,16
27,600,정관동일스위트2차,7,23,78.5355,7
24,800,정관동일스위트2차,7,23,59.9856,15
45,000,정관롯데캐슬2차,7,23,101.5883,14
24,500,정관동일스위트1차,7,1,59.6502,5
25,000,정관동일스위트1차,7,2,59.6502,20
34,500,정관동일스위트1차,7,2,84.8734,3
38,000,정관동일스위트1차,7,4,84.9923,1
39,000,정관신도시계룡리슈빌,7,6,84.836,11
52,000,이진캐스빌,7,7,84.9281,15
26,600,정관동일스위트1차,7,7,59.8245,7
60,500,정관협성르네상스타운,7,13,126.2039,6
23,000,정관양우내안愛,7,15,59.9527,7
34,500,정관동일스위트1차,7,16,84.8734,10
23,500,정관동일스위트1차,7,22,59.8302,2
69,000,일광자이푸르지오2단지,7,2,84.9677,16
65,000,일광자이푸르지오2단지,7,8,84.9849,15
63,000,일광자이푸르지오1단지,7,18,84.9718,8
54,200,e편한세상일광,7,20,74.9791,16
57,000,일광한신더휴센트럴포레2단지,7,23,84.9616,2
70,000,일광자이푸르지오2단지,7,29,84.9596,20
42,700,이지더원1차오션포레,7,29,59.6231,4
15,600,정도한스빌,7,1,54.562,6
83,000,일광신도시비스타동원2차,7,15,104.206,22
19,600,동부산쏠마레,7,27,49.0658,14
32,000,가화일광타워,7,28,59.8654,28
16,000,대진로얄,8,3,67.92,6
7,350,동보시티빌,8,9,56.925,4
30,000,한신,8,15,84.985,22
13,122,삼화펠리스힐아파트,8,25,73.8194,3
13,122,삼화펠리스힐아파트,8,26,73.8194,3
31,500,한신,8,27,84.985,20
17,500,전원그린맨션B동,8,1,84.92,10
12,700,욱일,8,3,68.03,5
9,800,전원그린맨션A,8,4,58.74,3
13,900,태영,8,5,59.75,4
19,900,문화그린맨션,8,18,84.135,8
10,000,전원그린맨션B동,8,26,59.97,4
13,150,문화그린맨션,8,27,59.91,11
14,000,부전타워,8,31,59.38,4
14,500,이진테마빌,8,9,59.0604,18
14,000,이진테마빌,8,18,59.0604,6
11,000,가화랜드빌기장1차,8,2,59.9416,4
23,500,동부산렉슬,8,12,76.32,6
10,000,금강로즈,8,12,66.53,3
21,000,씨엘늘채움,8,16,78.0341,1
7,200,금강궁전,8,18,44.91,8
8,500,가화랜드빌기장1차,8,19,59.9416,3
20,100,이진캐스빌,8,26,59.91,14
26,000,이진캐스빌,8,29,79.63,1
15,000,대라주공,8,31,46.74,5
28,500,우신네오빌,8,1,84.9888,10
28,000,우신네오빌,8,8,84.9888,13
28,000,우신네오빌,8,20,84.9888,21
10,950,씨앤스타빌,8,23,49.96,5
24,000,우신네오빌,8,29,84.9888,11
22,400,서희스타힐스,8,4,59.81,6
26,000,정관가화만사성더테라스1차,8,11,60.1758,4
29,350,정관가화만사성더테라스2차,8,11,60.1758,2
43,800,정관가화만사성더테라스1차,8,17,60.1758,6
