  P_AVE[W]_1  
589 
589 
590 
588 
587 
585 
582 
587 
588 
588 
589 
586 
586 
586 
585 
585 
582 
580 
580 
579 
579 
579 
579 
578 
580 
579 
578 
579 
578 
578 
578 
578 
580 
580 
577 
577 
575 
576 
576 
575 
576 
575 
576 
576 
1810 
3060 
4650 
2200 
2390 
4400 
6580 
2200 
2500 
2260 
5570 
7780 
2200 
2190 
2180 
2430 
2300 
2330 
2350 
5830 
7980 
3200 
2190 
2190 
2330 
2200 
2210 
2340 
2330 
7880 
7370 
2300 
2400 
2190 
2190 
2190 
4210 
10200 
2190 
2190 
4790 
4040 
11200 
2200 
2180 
3450 
14000 
2180 
2400 
15500 
2400 
2480 
13600 
5610 
3280 
15300 
2210 
2200 
2200 
2450 
2780 
3040 
3000 
2750 
2210 
2420 
2890 
18100 
2820 
2190 
2190 
3110 
3740 
3250 
2910 
8020 
2200 
2210 
2210 
2200 
2200 
2210 
2210 
2200 
2190 
2100 
586 
584 
584 
586 
585 
584 
583 
583 
584 
584 
584 
584 
583 
582 
581 
582 
583 
583 
583 
581 
580 
580 
582 
583 
582 
581 
579 
580 
580 
583 
583 
583 
582 
581 
580 
580 
580 
580 
580 
580 
580 
580 
581 
585 
585 
583 
582 
582 
585 
1530 
6130 
11800 
5580 
2200 
2200 
2200 
2200 
2190 
2180 
9810 
17400 
17300 
17300 
17300 
17200 
9950 
2340 
6010 
17200 
17200 
17200 
17200 
17200 
17200 
17200 
17300 
17300 
17300 
17300 
17300 
17300 
17300 
17300 
17300 
22300 
26100 
26100 
26100 
26100 
26000 
26000 
26000 
26000 
26000 
26100 
26200 
26100 
26100 
26200 
31800 
35200 
35300 
35400 
35400 
35500 
35500 
35500 
35600 
35500 
35500 
35600 
35600 
35700 
35600 
40900 
44100 
44100 
44100 
44100 
44100 
44100 
44100 
44000 
44000 
44000 
44000 
44000 
44000 
44000 
48700 
52400 
52400 
52400 
52400 
52400 
52400 
52400 
52400 
52400 
52400 
52400 
52300 
52300 
52300 
56200 
60700 
60700 
60600 
60600 
60600 
60500 
60500 
60500 
60500 
60400 
60400 
60400 
60400 
60400 
65400 
68700 
68800 
68800 
68700 
68800 
68700 
68600 
68600 
68700 
68600 
68600 
68600 
68600 
68600 
68600 
68700 
68700 
68700 
68700 
74100 
76900 
77000 
77000 
77000 
77000 
76900 
76900 
76900 
77000 
77100 
77000 
76800 
76800 
76700 
76600 
76600 
76600 
76500 
76600 
33900 
2360 
2370 
2380 
2380 
2370 
2370 
2370 
2360 
2370 
1550 
619 
619 
618 
618 
618 
616 
615 
13200 
17800 
25000 
84800 
85000 
85100 
85300 
85200 
85300 
85200 
85100 
85200 
85200 
85200 
85100 
85100 
85200 
85100 
85000 
84900 
84900 
84900 
90100 
92600 
92700 
92600 
92500 
92500 
92600 
92600 
92600 
92500 
92600 
92500 
92500 
92400 
92400 
97700 
101000 
101000 
101000 
101000 
101000 
101000 
101000 
101000 
101000 
101000 
101000 
101000 
101000 
101000 
101000 
101000 
101000 
101000 
101000 
101000 
101000 
101000 
101000 
101000 
37800 
2350 
2360 
2360 
6960 
18100 
18000 
18000 
17900 
17800 
17800 
17700 
17700 
17600 
17600 
17600 
17500 
25200 
24500 
23400 
22600 
21700 
19800 
9370 
11600 
12400 
11500 
14500 
12500 
9960 
6750 
2810 
2370 
2370 
2370 
2370 
2370 
2370 
2360 
2370 
2370 
958 
613 
614 
616 
616 
618 
616 
591 
581 
582 
581 
580 
580 
580 
580 
581 
582 
